"Petr Pavel";1975056
"Andrej Babiš";1952213
"Danuše Nerudová";777080
"Pavel Fischer";376705
"Jaroslav Bašta";248375
"Marek Hilšer";142912
"Karel Diviš";75475
"Tomáš Zima";30769
